EmployeeID,Age,Gender,Department,City,YearsExperience,MonthlySalary,PerformanceScore,Attrition
1001,,Female,Finance,Los Angeles,13.0,44092.94,4,No
1002,49.0,Female,IT,Chicago,5.0,51287.22,4,No
1003,35.0,Female,IT,Chicago,,53883.5,4,Yes
1004,28.0,Male,HR,Houston,2.0,64310.08,4,Yes
1005,41.0,Male,IT,New York,6.0,57665.52,4,No
1006,59.0,Male,Sales,Los Angeles,7.0,34969.83,2,No
1007,,Female,Marketing,New York,14.0,60702.97,1,No
1008,43.0,Male,Marketing,New York,28.0,64158.79,3,No
1009,31.0,Female,Finance,Houston,32.0,63396.86,1,No
1010,31.0,Female,IT,Los Angeles,,,4,Yes
1011,44.0,Male,Sales,Los Angeles,26.0,67508.83,2,No
1012,56.0,Male,Finance,Phoenix,28.0,61887.7,5,No
1013,44.0,Female,HR,New York,32.0,53947.51,2,No
1014,23.0,Male,Finance,New York,26.0,30085.59,4,No
1015,42.0,Female,Finance,Chicago,32.0,61444.27,2,No
1016,22.0,Female,IT,Phoenix,3.0,58115.32,2,No
1017,44.0,Female,HR,Chicago,21.0,59073.68,4,No
1018,50.0,Female,Finance,Chicago,1.0,35848.77,2,No
1019,58.0,Female,Sales,Chicago,9.0,38784.15,3,No
1020,22.0,Male,Sales,houston,4.0,70797.29,3,No
1021,41.0,Male,Marketing,Houston,9.0,54406.67,2,No
1022,53.0,Female,HR,Chicago,32.0,65222.51,5,Yes
1023,32.0,Female,HR,Phoenix,,55424.78,4,No
1024,42.0,Male,Marketing,New York,30.0,55446.34,3,Yes
1025,45.0,Male,,Phoenix,23.0,69074.26,5,No
1026,47.0,Female,HR,Los Angeles,14.0,47259.33,2,No
1027,48.0,Male,Sales,Houston,28.0,56441.81,5,No
1028,36.0,Female,Sales,New York,7.0,48065.87,1,No
1029,35.0,Male,IT,New York,4.0,48482.56,3,Yes
1030,23.0,Female,HR,Los Angeles,28.0,50362.42,2,No
1031,57.0,Male,Finance,Los Angeles,3.0,58332.01,4,No
1032,27.0,Female,Marketing,Chicago,11.0,47818.77,2,Yes
1033,41.0,Male,Marketing,Houston,1.0,73836.34,4,No
1034,29.0,Male,Finance,Houston,26.0,41580.89,2,No
1035,59.0,Female,IT,Phoenix,30.0,52196.93,5,No
1036,38.0,Male,Marketing,Chicago,25.0,48404.03,5,Yes
1037,24.0,Female,HR,Chicago,26.0,,5,Yes
1038,45.0,Male,IT,Chicago,4.0,57948.32,1,No
1039,34.0,Female,HR,Chicago,19.0,70477.67,4,No
1040,29.0,Male,Sales,Houston,10.0,32716.59,5,No
1041,46.0,Female,IT,Houston,9.0,59005.75,1,No
1042,22.0,Male,Marketing,Chicago,5.0,68344.46,4,No
1043,,Female,IT,phoenix,7.0,56234.26,2,No
1044,48.0,Male,IT,New York,22.0,70982.21,1,Yes
1045,27.0,Female,IT,New York,25.0,47240.67,3,No
1046,28.0,Female,IT,phoenix,11.0,76140.21,1,No
1047,55.0,Female,HR,Chicago,25.0,89483.47,1,No
1048,34.0,Male,Sales,Houston,12.0,49557.42,4,No
1049,37.0,Female,Finance,New York,17.0,48317.46,2,No
1050,56.0,Male,IT,Los Angeles,24.0,76800.77,3,No
1051,24.0,Female,Marketing,Los Angeles,32.0,78693.58,5,No
1052,22.0,Male,IT,Phoenix,11.0,47157.1,5,No
1053,26.0,Female,Marketing,Chicago,3.0,48697.2,1,No
1054,24.0,Male,HR,New York,4.0,,4,No
1055,49.0,Male,Marketing,Chicago,7.0,34833.24,4,No
1056,38.0,Female,Finance,New York,27.0,,5,No
1057,46.0,Male,Sales,Phoenix,30.0,39937.89,3,No
1058,54.0,Male,Marketing,Phoenix,,43483.04,2,No
1059,30.0,Female,Marketing,Los Angeles,28.0,54479.73,3,No
1060,56.0,Male,Sales,Chicago,,58513.22,2,No
1061,34.0,Male,,Los Angeles,21.0,78257.51,5,Yes
1062,,Male,IT,Chicago,10.0,40024.69,2,No
1063,35.0,Female,Marketing,los angeles,22.0,69764.84,4,No
1064,28.0,Male,Sales,Houston,0.0,51790.17,1,No
1065,34.0,Female,HR,Houston,20.0,54258.04,1,No
1066,43.0,Male,,Houston,25.0,65122.29,5,No
1067,,Male,HR,Houston,22.0,38159.17,4,No
1068,36.0,Male,Finance,New York,0.0,60736.15,3,Yes
1069,38.0,Female,IT,Houston,14.0,57496.78,4,Yes
1070,44.0,Male,Sales,Phoenix,20.0,62386.77,1,No
1071,46.0,Male,Marketing,Phoenix,8.0,59337.53,1,No
1072,45.0,Female,,New York,8.0,91829.5,4,No
1073,49.0,Male,Sales,Houston,9.0,45433.9,4,No
1074,35.0,Female,Marketing,Houston,25.0,47035.05,1,No
1075,21.0,Female,Sales,Houston,34.0,45652.89,3,No
1076,45.0,Male,HR,Los Angeles,24.0,46667.84,5,Yes
1077,27.0,Female,Sales,Chicago,25.0,45439.19,5,No
1078,29.0,Male,Sales,Los Angeles,10.0,,4,No
1079,44.0,Female,Sales,Chicago,,76307.56,5,No
1080,21.0,Female,Finance,Houston,6.0,46438.81,1,Yes
1081,28.0,Male,Sales,Houston,17.0,42514.67,1,No
1082,44.0,Female,Marketing,Los Angeles,26.0,62071.23,4,No
1083,31.0,Female,HR,Los Angeles,33.0,,4,No
1084,37.0,Female,HR,Chicago,26.0,64493.98,4,Yes
1085,28.0,Female,Sales,Phoenix,16.0,58043.85,3,No
1086,55.0,Female,Finance,Chicago,23.0,145187.28,5,No
1087,55.0,Male,Finance,Los Angeles,24.0,78212.58,4,No
1088,53.0,Female,Marketing,Los Angeles,6.0,81938.17,2,No
1089,25.0,Male,Sales,New York,5.0,45808.17,2,Yes
1090,59.0,Female,HR,Los Angeles,23.0,49184.48,1,No
1091,48.0,Male,,New York,32.0,59287.98,5,Yes
1092,27.0,Male,Sales,Phoenix,28.0,60016.85,4,No
1093,29.0,Female,Finance,Chicago,21.0,64878.16,2,No
1094,28.0,Female,Finance,Chicago,25.0,,5,No
1095,32.0,Female,HR,new york,27.0,52345.79,1,No
1096,54.0,Male,IT,Chicago,20.0,43025.54,3,Yes
1097,53.0,Female,Marketing,los angeles,6.0,34310.21,5,No
1098,43.0,Male,Marketing,Houston,16.0,44036.05,5,No
1099,44.0,Male,HR,New York,19.0,54503.1,3,No
1100,57.0,Male,Finance,Chicago,19.0,81918.37,5,No
1101,55.0,Female,Sales,New York,21.0,47235.83,1,No
1102,,Female,Finance,New York,27.0,58356.82,1,Yes
1103,47.0,Male,HR,Houston,,54753.66,3,Yes
1104,55.0,Male,Marketing,Los Angeles,0.0,72825.9,4,Yes
1105,21.0,Female,Finance,New York,31.0,92903.99,2,No
1106,55.0,Male,Marketing,Chicago,12.0,47036.97,4,No
1107,57.0,Female,Sales,Phoenix,29.0,47658.41,5,No
1108,34.0,Male,Marketing,New York,22.0,70662.41,2,No
1109,23.0,Female,Marketing,New York,18.0,65228.37,3,No
1110,21.0,Male,IT,Houston,31.0,82700.61,3,No
1111,25.0,Female,IT,Los Angeles,29.0,63758.92,2,No
1112,46.0,Male,IT,Phoenix,28.0,49610.62,1,No
1113,34.0,Female,Marketing,Chicago,28.0,63859.82,2,No
1114,59.0,Female,,Phoenix,29.0,71630.55,5,No
1115,47.0,Male,Marketing,Chicago,15.0,67307.23,1,Yes
1116,29.0,Male,HR,Los Angeles,18.0,62609.11,3,No
1117,35.0,Female,HR,Chicago,17.0,71000.12,2,No
1118,35.0,Male,IT,Houston,0.0,72539.43,4,No
1119,46.0,Female,Finance,Houston,13.0,75732.38,4,No
1120,33.0,Male,Sales,Houston,1.0,64730.65,5,No
1121,52.0,Female,IT,Houston,27.0,52493.23,4,No
1122,59.0,Female,IT,phoenix,29.0,57200.71,2,No
1123,52.0,Female,Finance,Los Angeles,3.0,328939.335,2,No
1124,24.0,Female,Sales,Chicago,0.0,42745.96,4,No
1125,50.0,Female,Marketing,Chicago,7.0,60530.1,2,No
