Age,Gender,YearsExperience,MonthlySalary,PerformanceScore,Attrition,Dept_HR,Dept_IT,Dept_Marketing,Dept_Sales,City_Houston,City_Los Angeles,City_New York,City_Phoenix
59.0,1,16.0,58273.95,3,0,0,1,0,0,1,0,0,0
49.0,1,9.0,50720.09,5,1,0,0,1,0,0,0,0,1
35.0,1,4.0,40714.5,2,0,1,0,0,0,0,1,0,0
28.0,0,6.0,45022.42,2,1,0,1,0,0,1,0,0,0
41.0,0,10.0,43317.31,3,0,1,0,0,0,0,1,0,0
59.0,1,23.0,59713.23,1,1,0,1,0,0,0,1,0,0
39.0,1,14.0,57378.29,1,1,0,1,0,0,0,0,1,0
43.0,1,7.0,52306.41,4,0,0,0,0,1,1,0,0,0
31.0,1,8.0,43584.7,3,0,1,0,0,0,1,0,0,0
31.0,0,6.0,41008.28,4,0,1,0,0,0,0,1,0,0
44.0,0,8.0,46121.0,3,1,0,0,1,0,0,0,0,1
56.0,1,17.0,51942.380000000005,5,0,0,0,1,0,0,0,1,0
44.0,1,16.0,50415.32,2,0,0,0,0,1,0,1,0,0
23.0,1,1.0,47305.97,5,1,0,0,0,1,0,0,0,0
43.0,0,18.0,58668.03,3,0,0,0,0,0,0,0,0,0
22.0,1,0.0,30134.6,2,1,0,0,1,0,0,0,1,0
44.0,0,16.0,52023.54,1,1,0,1,0,0,0,0,0,1
50.0,1,14.0,39086.96,1,0,1,0,0,0,0,1,0,0
58.0,0,28.0,70390.05,4,0,0,0,0,1,1,0,0,0
22.0,1,1.0,38151.62,3,0,1,0,0,0,0,0,1,0
41.0,0,6.0,42702.08,3,0,1,0,0,0,0,0,0,1
43.0,1,9.0,51100.93,1,0,0,0,0,0,1,0,0,0
32.0,1,4.0,51942.380000000005,5,0,0,0,1,0,0,0,0,0
43.0,1,5.0,40780.93,2,0,0,0,0,1,0,0,0,0
45.0,0,7.0,49275.91,5,0,1,0,0,0,1,0,0,0
47.0,1,17.0,54831.54,5,0,0,0,0,1,0,0,1,0
48.0,0,15.0,61964.84,1,0,0,1,0,0,0,0,0,0
36.0,0,10.0,44720.68,1,1,0,0,0,0,0,1,0,0
35.0,1,11.0,49809.68,1,0,0,1,0,0,1,0,0,0
23.0,1,1.0,41359.16,4,0,0,0,0,1,1,0,0,0
57.0,1,25.0,62644.92,5,0,0,0,0,1,0,0,0,0
27.0,0,4.0,42530.3,3,0,0,1,0,0,0,0,1,0
41.0,1,10.0,44755.62,2,0,1,0,0,0,0,1,0,0
29.0,0,3.0,51942.380000000005,4,0,1,0,0,0,0,0,1,0
59.0,0,14.0,53739.01,3,0,0,1,0,0,0,0,0,1
38.0,1,7.0,63583.54,5,0,0,0,0,0,0,0,0,1
24.0,1,1.0,35346.92,1,1,1,0,0,0,0,0,0,0
45.0,1,9.0,62086.89,5,0,0,0,1,0,0,0,0,0
34.0,1,10.0,50679.56,2,0,0,1,0,0,0,0,0,0
29.0,1,6.0,58331.53,4,0,0,1,0,0,0,0,0,1
46.0,1,7.0,50567.1,4,0,0,0,1,0,0,0,1,0
22.0,0,0.0,41237.7,2,1,0,0,0,0,0,0,1,0
40.0,0,5.0,48994.2,3,0,0,1,0,0,0,0,0,0
48.0,0,15.0,57228.36,3,1,0,0,0,0,0,1,0,0
27.0,1,3.0,42206.43,4,1,0,0,1,0,0,0,1,0
28.0,0,5.0,31664.28,4,0,0,0,1,0,0,0,0,1
55.0,0,15.0,52086.11,1,1,0,0,0,1,1,0,0,0
34.0,0,10.0,50797.96,3,1,0,1,0,0,1,0,0,0
37.0,0,13.0,46547.12,2,0,0,0,1,0,1,0,0,0
56.0,0,11.0,44945.12,3,0,0,1,0,0,0,1,0,0
24.0,1,2.0,32635.07,1,1,1,0,0,0,0,0,0,0
22.0,1,1.0,51525.52,4,0,0,1,0,0,0,0,0,1
26.0,0,3.0,41694.57,4,0,1,0,0,0,0,1,0,0
24.0,0,2.0,46938.57,1,1,0,1,0,0,0,0,0,1
49.0,0,20.0,58462.52,2,0,1,0,0,0,0,0,0,1
38.0,1,11.0,49774.82,4,1,0,0,1,0,0,0,0,0
46.0,1,18.0,58185.73,5,0,0,0,1,0,1,0,0,0
54.0,0,26.0,71330.91,4,0,0,0,0,1,0,0,0,0
30.0,1,6.0,50848.19,5,0,1,0,0,0,0,1,0,0
56.0,1,29.0,70712.36,1,0,0,1,0,0,0,1,0,0
34.0,0,8.0,51942.380000000005,1,0,0,0,0,1,0,1,0,0
51.0,1,19.0,58540.62,4,0,1,0,0,0,0,0,0,0
35.0,1,8.0,44637.88,3,1,1,0,0,0,0,0,0,1
28.0,0,2.0,51110.12,5,0,0,0,0,1,0,0,0,1
34.0,1,9.0,42658.51,2,1,0,0,1,0,0,0,1,0
43.0,1,13.0,44483.56,4,0,1,0,0,0,0,1,0,0
41.0,0,10.0,48660.95,2,0,0,0,1,0,0,0,0,1
36.0,1,12.0,43966.53,4,0,0,0,0,1,0,0,1,0
38.0,1,7.0,42323.95,3,1,0,1,0,0,0,0,0,1
44.0,0,13.0,54857.22,3,0,0,1,0,0,0,1,0,0
46.0,0,17.0,56630.26,3,0,0,0,0,0,1,0,0,0
45.0,0,17.0,49753.87,3,0,1,0,0,0,0,1,0,0
49.0,1,15.0,59319.49,1,1,0,0,0,0,0,0,0,0
35.0,0,11.0,47932.22,1,1,0,0,1,0,0,0,0,1
21.0,1,0.0,39993.08,5,1,1,0,0,0,0,0,0,1
45.0,0,7.0,47584.49,2,1,0,0,1,0,0,0,0,0
27.0,1,2.0,46450.81,4,0,0,1,0,0,0,0,0,0
29.0,0,10.0,42756.87,4,0,0,0,0,1,1,0,0,0
44.0,0,11.0,46104.39,1,0,1,0,0,0,0,0,0,1
21.0,0,0.0,51118.57,4,0,0,1,0,0,0,0,0,1
28.0,0,4.0,44158.95,1,0,0,1,0,0,1,0,0,0
44.0,1,10.0,45958.16,5,0,1,0,0,0,0,0,1,0
31.0,0,6.0,51942.380000000005,2,1,0,0,1,0,1,0,0,0
37.0,0,8.0,51719.59,5,0,0,1,0,0,0,1,0,0
28.0,1,4.0,46006.3,3,0,0,0,0,0,0,0,0,1
55.0,0,17.0,63664.31,3,1,0,1,0,0,0,0,0,0
55.0,1,23.0,67658.66,3,1,0,0,1,0,0,1,0,0
53.0,0,11.0,54982.4,5,0,0,0,1,0,0,0,0,1
25.0,0,3.0,51571.22,4,0,0,1,0,0,1,0,0,0
59.0,0,19.0,60172.47,2,0,0,1,0,0,0,1,0,0
48.0,1,21.0,60823.92,3,0,0,0,1,0,0,0,0,1
27.0,0,3.0,39871.24,3,0,1,0,0,0,0,0,1,0
29.0,0,7.0,40896.14,3,1,0,0,0,1,0,0,1,0
28.0,0,4.0,45371.74,2,1,0,0,0,1,0,0,0,0
32.0,1,4.0,48281.57,3,1,0,0,0,1,0,0,0,1
54.0,1,25.0,71363.46,2,0,0,1,0,0,0,0,1,0
53.0,0,15.0,58983.31,3,0,0,0,0,0,1,0,0,0
43.0,1,10.0,48675.29,5,0,0,0,1,0,0,0,0,1
44.0,0,6.0,37463.27,5,0,1,0,0,0,1,0,0,0
57.0,0,21.0,54978.21,2,0,1,0,0,0,1,0,0,0
55.0,0,19.0,51942.380000000005,5,0,0,1,0,0,0,0,1,0
43.0,0,10.0,51882.13,2,1,0,0,0,1,0,0,0,1
47.0,0,20.0,73264.29,5,0,0,1,0,0,0,1,0,0
55.0,0,11.0,59153.16,5,0,0,0,0,0,0,0,1,0
21.0,0,0.0,46749.86,2,0,0,0,0,0,0,0,1,0
55.0,1,15.0,58746.65,4,0,0,0,1,0,0,0,0,1
57.0,1,11.0,51759.47,5,0,0,0,1,0,0,0,0,1
34.0,1,7.0,53956.39,3,0,0,0,0,0,1,0,0,0
23.0,1,1.0,45606.16,4,0,0,0,0,0,0,0,0,1
21.0,1,0.0,44560.1,2,1,0,0,0,0,1,0,0,0
25.0,1,10.0,44553.53,4,1,0,1,0,0,0,0,1,0
46.0,1,12.0,46711.15,1,1,0,0,0,0,0,0,0,0
34.0,0,3.0,39282.83,1,0,1,0,0,0,0,1,0,0
59.0,0,29.0,76053.31375,5,0,0,0,0,1,0,0,1,0
47.0,0,8.0,59134.45,5,0,0,0,0,0,0,0,0,1
29.0,0,5.0,45701.88,3,0,0,0,0,1,0,1,0,0
35.0,1,12.0,50634.9,4,0,0,1,0,0,0,0,0,0
35.0,1,10.0,43500.5,1,1,0,0,0,1,0,0,0,0
46.0,0,20.0,71816.73,5,0,0,1,0,0,1,0,0,0
33.0,0,5.0,41411.07,4,0,1,0,0,0,0,1,0,0
52.0,1,22.0,69050.02,5,0,0,1,0,0,1,0,0,0
59.0,0,22.0,76053.31375,5,0,0,1,0,0,0,0,1,0
52.0,0,21.0,53908.84,1,0,0,0,1,0,0,1,0,0
24.0,0,1.0,42969.18,1,1,0,0,0,0,0,0,1,0
50.0,0,10.0,61596.53,5,0,0,1,0,0,1,0,0,0
57.0,1,12.0,41794.25,2,0,1,0,0,0,0,1,0,0
43.0,0,15.0,56022.83,5,0,1,0,0,0,1,0,0,0
59.0,0,29.0,76053.31375,5,0,0,0,0,0,0,1,0,0
35.0,1,10.0,55376.89,3,0,0,0,1,0,1,0,0,0
49.0,1,8.0,52359.75,3,0,0,0,0,0,0,0,0,0
56.0,0,27.0,63298.23,3,1,0,0,1,0,1,0,0,0
33.0,1,6.0,41176.1,2,0,1,0,0,0,0,0,0,0
52.0,0,15.0,53624.55,2,1,0,0,0,1,1,0,0,0
27.0,0,2.0,48447.03,5,0,1,0,0,0,0,1,0,0
42.0,1,15.0,46864.43,3,0,1,0,0,0,0,1,0,0
43.0,0,10.0,52780.51,2,0,0,1,0,0,0,1,0,0
22.0,0,1.0,51942.380000000005,1,0,0,1,0,0,0,0,0,1
26.0,0,4.0,50751.62,5,0,0,1,0,0,0,0,1,0
48.0,0,8.0,57906.3,4,0,0,1,0,0,0,1,0,0
48.0,1,15.0,60489.43,5,0,0,0,1,0,0,0,0,0
40.0,1,7.0,50852.43,4,0,0,0,0,0,0,1,0,0
50.0,0,13.0,56038.38,3,1,0,0,0,1,0,0,0,1
31.0,1,5.0,51942.380000000005,4,0,1,0,0,0,0,0,0,0
48.0,0,13.0,58688.82,3,0,0,0,1,0,0,0,0,1
45.0,0,15.0,50728.99,1,0,0,0,0,1,0,0,0,0
59.0,0,20.0,57240.94,4,0,0,0,1,0,1,0,0,0
43.0,0,19.0,57040.11,5,0,0,0,1,0,0,0,1,0
21.0,0,0.0,32192.83,3,1,1,0,0,0,0,0,1,0
47.0,1,15.0,68249.12,5,0,0,1,0,0,0,0,0,1
33.0,0,7.0,44989.62,2,0,0,1,0,0,0,0,1,0
23.0,1,1.0,50420.99,3,0,0,0,0,0,0,0,0,1
59.0,1,18.0,52426.24,4,0,1,0,0,0,0,0,0,1
26.0,0,2.0,35759.18,3,0,1,0,0,0,0,0,0,1
28.0,0,6.0,46093.78,5,0,0,1,0,0,0,0,1,0
47.0,0,16.0,48585.38,1,0,0,0,0,1,0,0,0,1
29.0,0,10.0,51177.92,3,1,0,0,0,0,0,0,1,0
57.0,0,20.0,73053.38,4,0,0,0,0,0,0,0,0,1
43.0,1,14.0,47070.27,2,0,0,0,1,0,0,1,0,0
44.0,0,19.0,50521.05,1,0,0,0,1,0,0,0,0,1
35.0,0,4.0,51942.380000000005,2,1,0,0,1,0,0,0,0,0
52.0,1,12.0,50164.23,3,0,1,0,0,0,0,0,0,1
52.0,1,15.0,62636.06,5,1,0,0,0,0,1,0,0,0
44.0,0,12.0,57949.03,5,0,1,0,0,0,0,0,0,1
32.0,1,10.0,54986.5,4,0,0,0,0,1,0,0,0,0
59.0,0,12.0,49658.15,5,0,0,0,1,0,0,0,0,0
22.0,1,1.0,35233.87,1,1,1,0,0,0,0,0,1,0
23.0,1,1.0,48031.36,5,0,1,0,0,0,0,1,0,0
57.0,0,27.0,66470.88,4,0,0,0,0,1,0,0,0,1
37.0,1,4.0,49222.94,3,0,0,1,0,0,0,0,1,0
22.0,1,0.0,42487.85,3,0,0,0,0,0,0,1,0,0
22.0,1,1.0,49921.7,5,0,0,1,0,0,0,0,0,1
48.0,1,23.0,51576.19,2,0,0,0,1,0,1,0,0,0
43.0,1,17.0,47436.74,3,1,1,0,0,0,0,0,0,1
57.0,1,21.0,65259.89,5,0,0,0,0,1,0,0,0,0
52.0,0,25.0,72604.39,4,0,0,0,0,1,0,0,0,0
53.0,0,8.0,54146.56,5,0,0,0,0,0,1,0,0,0
21.0,1,0.0,44028.97,3,0,0,1,0,0,0,0,1,0
39.0,0,10.0,63106.08,4,0,0,0,0,0,0,1,0,0
22.0,0,10.0,37516.97,5,1,1,0,0,0,0,0,0,1
46.0,0,19.0,51605.03,1,0,0,0,0,0,0,0,0,0
52.0,1,21.0,59435.94,4,0,0,0,0,1,0,0,1,0
26.0,0,3.0,36398.86,1,0,0,0,0,1,1,0,0,0
52.0,1,17.0,45560.19,2,1,0,0,1,0,0,0,0,0
24.0,0,2.0,42187.83,4,0,0,0,1,0,1,0,0,0
31.0,1,4.0,39793.79,1,0,1,0,0,0,0,0,0,1
37.0,1,13.0,53806.18,3,1,0,1,0,0,0,1,0,0
58.0,0,25.0,68700.31,3,0,0,0,0,0,0,0,0,0
44.0,0,9.0,44533.74,2,1,1,0,0,0,0,0,0,0
25.0,1,3.0,43316.46,4,0,0,0,1,0,0,0,0,1
54.0,0,19.0,65592.77,4,0,0,0,0,0,0,0,1,0
26.0,0,3.0,44439.31,4,0,0,0,1,0,0,1,0,0
42.0,0,15.0,53399.09,2,0,0,0,0,0,0,0,0,0
43.0,1,3.0,57644.33,4,0,0,1,0,0,0,1,0,0
36.0,1,8.0,49191.03,3,0,1,0,0,0,0,0,0,0
53.0,0,26.0,51942.380000000005,1,1,0,0,0,0,0,1,0,0
29.0,0,4.0,48454.7,3,0,0,0,0,1,1,0,0,0
26.0,0,3.0,51942.380000000005,3,0,0,0,0,1,0,0,0,0
36.0,1,7.0,50554.25,1,0,0,0,0,0,0,1,0,0
49.0,1,10.0,61472.41,3,0,0,0,0,0,0,0,1,0
23.0,0,1.0,37203.91,2,0,0,0,0,0,1,0,0,0
43.0,0,10.0,45790.36,1,0,0,0,0,1,1,0,0,0
56.0,0,13.0,54057.17,3,0,0,0,0,1,0,0,1,0
39.0,0,12.0,67057.27,5,0,0,0,0,0,0,1,0,0
46.0,0,8.0,49098.9,3,0,0,0,1,0,0,0,0,1
23.0,0,1.0,33891.74,2,1,0,0,1,0,0,0,1,0
39.0,1,5.0,51942.380000000005,4,0,0,1,0,0,0,1,0,0
40.0,0,6.0,42475.12,3,1,0,1,0,0,0,0,1,0
52.0,1,17.0,55926.64,4,0,0,0,1,0,0,0,1,0
27.0,0,4.0,47491.53,5,0,0,0,0,1,0,0,0,0
53.0,0,23.0,53955.78,3,0,0,0,1,0,0,1,0,0
59.0,1,12.0,53160.92,1,0,0,1,0,0,0,0,0,1
38.0,1,13.0,63139.94,4,0,0,1,0,0,0,0,0,0
21.0,1,0.0,39458.47,5,0,1,0,0,0,0,0,1,0
31.0,1,5.0,40631.81,1,1,0,0,1,0,0,0,1,0
48.0,0,22.0,53642.44,1,1,0,0,0,1,0,0,1,0
45.0,1,20.0,54636.29,1,1,0,0,0,1,0,1,0,0
43.0,0,8.0,49066.16,1,1,0,0,0,0,0,1,0,0
51.0,1,14.0,54658.64,3,0,0,0,0,1,0,0,0,0
50.0,0,23.0,52028.14,3,0,1,0,0,0,0,0,0,1
55.0,0,23.0,56693.98,3,0,1,0,0,0,0,0,0,0
27.0,0,2.0,51942.380000000005,5,0,0,0,0,1,1,0,0,0
36.0,0,11.0,53480.22,5,1,0,0,0,1,0,0,1,0
46.0,0,19.0,67113.23,5,0,0,0,0,0,0,0,1,0
43.0,0,1.0,39002.98,2,0,0,0,0,1,0,0,1,0
21.0,1,0.0,55272.96,5,0,0,0,0,0,0,0,0,0
32.0,0,8.0,57361.47,3,0,0,0,0,0,0,0,0,0
25.0,1,1.0,44780.12,3,1,0,1,0,0,0,0,1,0
57.0,1,10.0,53807.03,2,1,0,1,0,0,0,0,0,0
52.0,0,20.0,64836.73,2,0,0,1,0,0,0,1,0,0
29.0,1,6.0,56971.77,5,0,0,0,0,0,0,1,0,0
55.0,0,15.0,54255.58,4,0,0,0,0,1,0,0,0,0
39.0,1,11.0,51367.93,2,0,0,1,0,0,0,0,1,0
36.0,0,10.0,52520.06,1,0,0,0,0,1,0,0,0,0
23.0,1,1.0,40346.79,3,0,0,0,0,1,0,0,0,0
40.0,0,13.0,55009.91,1,0,0,0,0,1,0,0,0,0
44.0,0,18.0,59688.38,3,0,0,0,1,0,1,0,0,0
53.0,0,20.0,61231.51,3,0,0,0,0,1,0,1,0,0
44.0,0,13.0,50560.13,2,0,0,0,1,0,0,0,0,1
31.0,1,10.0,41548.32,2,1,0,0,0,0,0,0,0,1
28.0,0,4.0,46827.1,1,1,0,1,0,0,1,0,0,0
56.0,1,16.0,67468.08,3,0,0,1,0,0,0,0,0,0
58.0,1,18.0,62025.36,1,0,0,1,0,0,1,0,0,0
40.0,1,11.0,59867.35,4,0,0,1,0,0,1,0,0,0
55.0,0,10.0,58547.75,1,1,0,1,0,0,0,0,1,0
43.0,1,9.0,58809.84,5,0,0,1,0,0,0,1,0,0
55.0,1,20.0,58721.78,1,0,0,1,0,0,0,0,0,1
45.0,1,12.0,61015.33,5,0,0,0,0,0,0,0,0,0
49.0,0,13.0,60415.87,5,0,0,0,0,1,0,0,0,1
38.0,0,12.0,45528.82,5,0,1,0,0,0,0,0,0,1
38.0,1,11.0,52389.47,4,0,0,0,1,0,0,1,0,0
22.0,0,0.0,35441.38,1,1,1,0,0,0,0,0,0,1
55.0,0,26.0,55821.43,1,0,1,0,0,0,0,0,0,1
36.0,1,8.0,54827.86,4,1,0,0,0,1,1,0,0,0
56.0,1,24.0,65964.75,3,0,0,0,0,1,0,1,0,0
53.0,0,19.0,65015.53,2,0,0,0,0,1,0,0,1,0
