EmployeeID,Age,Gender,Department,City,YearsExperience,MonthlySalary,PerformanceScore,Attrition
2001,59.0,Male,,Houston,16.0,58273.95,3,No
2002,49.0,Male,Marketing,Phoenix,9.0,50720.09,5,Yes
2003,35.0,Male,HR,Los Angeles,4.0,40714.5,2,No
2004,28.0,Female,IT,Houston,6.0,45022.42,2,Yes
2005,41.0,Female,HR,Los Angeles,10.0,43317.31,3,No
2006,59.0,Male,IT,los angeles,23.0,59713.23,1,Yes
2007,39.0,Male,IT,New York,14.0,57378.29,1,Yes
2008,43.0,Male,Sales,Houston,7.0,52306.41,4,No
2009,31.0,Male,HR,Houston,8.0,43584.7,3,No
2010,31.0,Female,HR,Los Angeles,6.0,41008.28,4,No
2011,44.0,Female,Marketing,Phoenix,8.0,46121.0,3,Yes
2012,56.0,Male,Marketing,New York,17.0,,5,No
2013,44.0,Male,Sales,Los Angeles,16.0,50415.32,2,No
2014,23.0,Male,Sales,Chicago,1.0,47305.97,5,Yes
2015,,Female,Finance,Chicago,18.0,58668.03,3,No
2016,22.0,Male,Marketing,New York,0.0,30134.6,2,Yes
2017,44.0,Female,IT,Phoenix,16.0,52023.54,1,Yes
2018,50.0,Male,HR,Los Angeles,14.0,39086.96,1,No
2019,58.0,Female,Sales,Houston,28.0,70390.05,4,No
2020,22.0,Male,HR,New York,1.0,38151.62,3,No
2021,41.0,Female,HR,Phoenix,6.0,42702.08,3,No
2022,,Male,Finance,Houston,9.0,51100.93,1,No
2023,32.0,Male,Marketing,Chicago,4.0,,5,No
2024,,Male,Sales,Chicago,5.0,40780.93,2,No
2025,45.0,Female,HR,Houston,7.0,49275.91,5,No
2026,47.0,Male,Sales,New York,17.0,54831.54,5,No
2027,48.0,Female,IT,Chicago,15.0,61964.84,1,No
2028,36.0,Female,Finance,Los Angeles,10.0,44720.68,1,Yes
2029,35.0,Male,IT,Houston,11.0,49809.68,1,No
2030,23.0,Male,Sales,Houston,1.0,41359.16,4,No
2031,57.0,Male,Sales,Chicago,25.0,62644.92,5,No
2032,27.0,Female,,New York,4.0,42530.3,3,No
2033,41.0,Male,HR,Los Angeles,10.0,44755.62,2,No
2034,29.0,Female,HR,New York,3.0,,4,No
2035,59.0,Female,IT,Phoenix,14.0,53739.01,3,No
2036,38.0,Male,Finance,Phoenix,7.0,63583.54,5,No
2037,24.0,Male,HR,Chicago,1.0,35346.92,1,Yes
2038,45.0,Male,Marketing,Chicago,9.0,62086.89,5,No
2039,34.0,Male,IT,Chicago,10.0,50679.56,2,No
2040,29.0,Male,IT,Phoenix,6.0,58331.53,4,No
2041,46.0,Male,Marketing,New York,7.0,50567.1,4,No
2042,22.0,Female,Finance,New York,0.0,41237.7,2,Yes
2043,40.0,Female,,Chicago,5.0,48994.2,3,No
2044,48.0,Female,Finance,Los Angeles,15.0,57228.36,3,Yes
2045,27.0,Male,Marketing,New York,3.0,42206.43,4,Yes
2046,28.0,Female,Marketing,Phoenix,5.0,31664.28,4,No
2047,55.0,Female,Sales,Houston,15.0,52086.11,1,Yes
2048,34.0,Female,IT,Houston,10.0,50797.96,3,Yes
2049,37.0,Female,Marketing,Houston,13.0,46547.12,2,No
2050,56.0,Female,,los angeles,11.0,44945.12,3,No
2051,24.0,Male,HR,Chicago,2.0,32635.07,1,Yes
2052,22.0,Male,IT,Phoenix,1.0,51525.52,4,No
2053,26.0,Female,HR,Los Angeles,3.0,41694.57,4,No
2054,24.0,Female,IT,Phoenix,2.0,46938.57,1,Yes
2055,49.0,Female,HR,Phoenix,20.0,58462.52,2,No
2056,38.0,Male,Marketing,Chicago,11.0,49774.82,4,Yes
2057,46.0,Male,Marketing,Houston,18.0,58185.73,5,No
2058,54.0,Female,Sales,Chicago,26.0,71330.91,4,No
2059,30.0,Male,HR,Los Angeles,6.0,50848.19,5,No
2060,56.0,Male,,Los Angeles,29.0,70712.36,1,No
2061,34.0,Female,Sales,Los Angeles,8.0,,1,No
2062,51.0,Male,HR,Chicago,19.0,58540.62,4,No
2063,35.0,Male,HR,Phoenix,8.0,44637.88,3,Yes
2064,28.0,Female,Sales,Phoenix,2.0,51110.12,5,No
2065,34.0,Male,Marketing,New York,9.0,42658.51,2,Yes
2066,43.0,Male,HR,Los Angeles,13.0,44483.56,4,No
2067,41.0,Female,Marketing,Phoenix,10.0,48660.95,2,No
2068,36.0,Male,Sales,New York,12.0,43966.53,4,No
2069,38.0,Male,,Phoenix,7.0,42323.95,3,Yes
2070,44.0,Female,IT,Los Angeles,13.0,54857.22,3,No
2071,46.0,Female,Finance,Houston,17.0,56630.26,3,No
2072,45.0,Female,HR,Los Angeles,17.0,49753.87,3,No
2073,49.0,Male,Finance,Chicago,15.0,59319.49,1,Yes
2074,35.0,Female,Marketing,Phoenix,11.0,47932.22,1,Yes
2075,21.0,Male,HR,Phoenix,0.0,39993.08,5,Yes
2076,45.0,Female,Marketing,Chicago,7.0,47584.49,2,Yes
2077,27.0,Male,IT,Chicago,2.0,46450.81,4,No
2078,29.0,Female,Sales,Houston,,42756.87,4,No
2079,44.0,Female,HR,Phoenix,11.0,46104.39,1,No
2080,21.0,Female,IT,Phoenix,0.0,51118.57,4,No
2081,28.0,Female,IT,Houston,4.0,44158.95,1,No
2082,44.0,Male,HR,New York,10.0,45958.16,5,No
2083,31.0,Female,Marketing,Houston,6.0,,2,Yes
2084,37.0,Female,IT,Los Angeles,8.0,51719.59,5,No
2085,28.0,Male,Finance,Phoenix,4.0,46006.3,3,No
2086,55.0,Female,IT,Chicago,17.0,63664.31,3,Yes
2087,55.0,Male,Marketing,Los Angeles,23.0,67658.66,3,Yes
2088,53.0,Female,Marketing,Phoenix,11.0,54982.4,5,No
2089,25.0,Female,,Houston,3.0,51571.22,4,No
2090,59.0,Female,IT,Los Angeles,19.0,60172.47,2,No
2091,48.0,Male,Marketing,Phoenix,21.0,60823.92,3,No
2092,27.0,Female,HR,New York,3.0,39871.24,3,No
2093,29.0,Female,Sales,New York,7.0,40896.14,3,Yes
2094,28.0,Female,Sales,Chicago,4.0,45371.74,2,Yes
2095,32.0,Male,Sales,Phoenix,4.0,48281.57,3,Yes
2096,54.0,Male,IT,New York,25.0,71363.46,2,No
2097,53.0,Female,Finance,Houston,15.0,58983.31,3,No
2098,43.0,Male,Marketing,Phoenix,10.0,48675.29,5,No
2099,44.0,Female,HR,Houston,6.0,37463.27,5,No
2100,57.0,Female,HR,houston,21.0,54978.21,2,No
2101,55.0,Female,IT,New York,19.0,,5,No
2102,,Female,Sales,Phoenix,10.0,51882.13,2,Yes
2103,47.0,Female,IT,Los Angeles,20.0,73264.29,5,No
2104,55.0,Female,Finance,New York,11.0,59153.16,5,No
2105,21.0,Female,Finance,New York,0.0,46749.86,2,No
2106,55.0,Male,Marketing,Phoenix,15.0,58746.65,4,No
2107,57.0,Male,Marketing,Phoenix,11.0,51759.47,5,No
2108,34.0,Male,Finance,Houston,7.0,53956.39,3,No
2109,23.0,Male,Finance,Phoenix,1.0,45606.16,4,No
2110,21.0,Male,Finance,Houston,0.0,44560.1,2,Yes
2111,25.0,Male,IT,New York,,44553.53,4,Yes
2112,46.0,Male,Finance,Chicago,12.0,46711.15,1,Yes
2113,34.0,Female,HR,Los Angeles,3.0,39282.83,1,No
2114,59.0,Female,Sales,New York,29.0,76300.24,5,No
2115,47.0,Female,Finance,Phoenix,8.0,59134.45,5,No
2116,29.0,Female,Sales,Los Angeles,5.0,45701.88,3,No
2117,35.0,Male,IT,Chicago,12.0,50634.9,4,No
2118,35.0,Male,Sales,Chicago,,43500.5,1,Yes
2119,46.0,Female,IT,Houston,20.0,71816.73,5,No
2120,33.0,Female,HR,Los Angeles,5.0,41411.07,4,No
2121,52.0,Male,IT,Houston,22.0,69050.02,5,No
2122,59.0,Female,IT,new york,22.0,77677.68,5,No
2123,52.0,Female,Marketing,Los Angeles,21.0,53908.84,1,No
2124,24.0,Female,Finance,new york,1.0,42969.18,1,Yes
2125,50.0,Female,,Houston,10.0,61596.53,5,No
2126,57.0,Male,HR,Los Angeles,12.0,41794.25,2,No
2127,43.0,Female,HR,Houston,15.0,56022.83,5,No
2128,59.0,Female,Finance,Los Angeles,29.0,81828.58,5,No
2129,35.0,Male,Marketing,Houston,10.0,55376.89,3,No
2130,49.0,Male,Finance,Chicago,8.0,52359.75,3,No
2131,56.0,Female,Marketing,houston,27.0,63298.23,3,Yes
2132,33.0,Male,HR,Chicago,6.0,41176.1,2,No
2133,52.0,Female,Sales,Houston,15.0,53624.55,2,Yes
2134,27.0,Female,HR,Los Angeles,2.0,48447.03,5,No
2135,42.0,Male,HR,Los Angeles,15.0,46864.43,3,No
2136,,Female,IT,Los Angeles,10.0,52780.51,2,No
2137,22.0,Female,IT,Phoenix,1.0,,1,No
2138,26.0,Female,IT,New York,4.0,50751.62,5,No
2139,48.0,Female,IT,Los Angeles,8.0,57906.3,4,No
2140,48.0,Male,Marketing,Chicago,15.0,60489.43,5,No
2141,40.0,Male,Finance,Los Angeles,7.0,50852.43,4,No
2142,50.0,Female,Sales,Phoenix,13.0,56038.38,3,Yes
2143,31.0,Male,HR,Chicago,5.0,,4,No
2144,48.0,Female,Marketing,Phoenix,13.0,58688.82,3,No
2145,45.0,Female,Sales,Chicago,15.0,50728.99,1,No
2146,59.0,Female,Marketing,Houston,20.0,57240.94,4,No
2147,,Female,Marketing,New York,19.0,57040.11,5,No
2148,21.0,Female,HR,New York,0.0,32192.83,3,Yes
2149,47.0,Male,,Phoenix,15.0,68249.12,5,No
2150,33.0,Female,IT,New York,7.0,44989.62,2,No
2151,23.0,Male,Finance,Phoenix,1.0,50420.99,3,No
2152,59.0,Male,HR,Phoenix,18.0,52426.24,4,No
2153,26.0,Female,HR,Phoenix,2.0,35759.18,3,No
2154,28.0,Female,,New York,6.0,46093.78,5,No
2155,47.0,Female,Sales,Phoenix,16.0,48585.38,1,No
2156,29.0,Female,Finance,New York,,51177.92,3,Yes
2157,57.0,Female,Finance,Phoenix,20.0,73053.38,4,No
2158,,Male,Marketing,Los Angeles,14.0,47070.27,2,No
2159,44.0,Female,Marketing,Phoenix,19.0,50521.05,1,No
2160,35.0,Female,Marketing,Chicago,4.0,,2,Yes
2161,52.0,Male,HR,Phoenix,12.0,50164.23,3,No
2162,52.0,Male,Finance,Houston,15.0,62636.06,5,Yes
2163,44.0,Female,HR,Phoenix,12.0,57949.03,5,No
2164,32.0,Male,Sales,Chicago,,54986.5,4,No
2165,59.0,Female,Marketing,Chicago,12.0,49658.15,5,No
2166,22.0,Male,HR,New York,1.0,35233.87,1,Yes
2167,23.0,Male,HR,Los Angeles,1.0,48031.36,5,No
2168,57.0,Female,Sales,Phoenix,27.0,66470.88,4,No
2169,37.0,Male,IT,New York,4.0,49222.94,3,No
2170,22.0,Male,Finance,Los Angeles,0.0,42487.85,3,No
2171,22.0,Male,IT,Phoenix,1.0,49921.7,5,No
2172,48.0,Male,Marketing,Houston,23.0,51576.19,2,No
2173,43.0,Male,HR,phoenix,17.0,47436.74,3,Yes
2174,57.0,Male,Sales,Chicago,21.0,65259.89,5,No
2175,52.0,Female,Sales,Chicago,25.0,72604.39,4,No
2176,53.0,Female,Finance,Houston,8.0,54146.56,5,No
2177,21.0,Male,IT,New York,0.0,44028.97,3,No
