Age,Gender,YearsExperience,MonthlySalary,PerformanceScore,Attrition,TrueSegment,Dept_HR,Dept_IT,Dept_Marketing,Dept_Sales,City_Houston,City_Los Angeles,City_New York,City_Phoenix
26.0,0,4.0,36109.67,3,0,0,0,0,1,0,0,0,1,0
46.0,1,23.0,93324.79,3,0,2,0,0,0,0,0,0,0,0
37.0,1,18.0,70928.19,3,0,1,0,0,1,0,0,0,0,1
34.0,0,8.0,54443.11,4,0,1,0,1,0,0,0,0,1,0
26.0,0,6.0,37933.8,2,1,0,0,0,1,0,0,0,0,1
21.0,0,0.0,31127.16,1,0,0,0,0,1,0,0,1,0,0
22.0,0,1.0,31625.03,1,1,0,0,0,0,0,0,0,0,1
59.0,1,35.0,111692.88,3,0,2,0,1,0,0,0,0,0,1
39.0,1,15.0,63391.17,2,0,1,1,0,0,0,0,0,0,0
37.0,0,16.0,63590.39,3,0,1,0,0,1,0,0,1,0,0
25.0,1,2.0,35306.74,3,1,0,0,0,0,1,0,0,0,1
43.0,1,23.0,105489.45,5,0,2,0,0,0,0,0,0,0,1
44.0,0,20.0,83619.39,3,0,2,0,0,1,0,0,1,0,0
30.0,0,8.0,37461.04,2,0,0,1,0,0,0,0,1,0,0
33.0,1,8.0,36673.49,1,1,0,0,0,1,0,0,0,1,0
28.0,0,7.0,38238.77,3,0,0,0,0,0,1,0,0,0,0
32.0,0,8.0,35125.99,2,0,0,0,0,0,0,0,1,0,0
35.0,0,13.0,66558.29,4,0,1,0,1,0,0,0,1,0,0
35.0,1,12.0,58720.81,4,0,1,0,0,0,1,1,0,0,0
21.0,0,0.0,30604.21,2,0,0,0,1,0,0,0,1,0,0
35.0,1,15.0,62740.83,3,0,1,0,1,0,0,0,0,0,0
25.0,1,0.0,32664.26,4,0,0,0,1,0,0,0,0,0,1
32.0,1,8.0,35727.78,1,1,0,1,0,0,0,0,0,0,1
23.0,0,4.0,32739.65,1,1,0,0,0,0,0,0,0,0,1
37.0,0,14.0,62180.93,3,0,1,0,0,0,1,0,0,0,1
45.0,0,22.0,98840.06,5,0,2,0,1,0,0,1,0,0,0
21.0,0,0.0,29543.28,2,1,0,1,0,0,0,0,1,0,0
35.0,0,9.0,56589.77,4,0,1,0,1,0,0,0,0,0,1
40.0,1,18.0,67709.35,2,1,1,0,1,0,0,0,0,1,0
23.0,1,0.0,32823.44,3,0,0,0,0,0,1,0,0,0,1
35.0,1,11.0,60545.33,4,0,1,0,0,1,0,0,1,0,0
29.0,0,6.0,37502.48,2,0,0,0,0,1,0,0,0,0,1
27.0,1,3.0,32222.55,2,1,0,0,0,1,0,1,0,0,0
53.0,1,30.0,100753.42,4,0,2,0,1,0,0,0,0,0,0
42.0,0,23.0,98483.74,4,0,2,0,1,0,0,0,0,0,0
48.0,0,24.0,103351.12,5,0,2,1,0,0,0,0,1,0,0
26.0,1,5.0,35240.24,2,0,0,0,0,0,1,0,0,0,0
21.0,1,0.0,31058.16,1,1,0,0,0,1,0,0,0,0,0
36.0,0,14.0,63096.03,3,0,1,0,1,0,0,0,0,1,0
32.0,0,10.0,54555.23,4,0,1,0,0,1,0,0,1,0,0
27.0,0,6.0,32350.4,3,0,0,1,0,0,0,0,1,0,0
31.0,0,7.0,54916.21,3,1,1,0,0,0,0,0,0,0,0
27.0,1,4.0,31380.37,2,1,0,0,1,0,0,0,0,0,0
41.0,1,17.0,94291.35,4,0,2,1,0,0,0,0,0,0,0
27.0,0,6.0,35292.49,3,1,0,0,0,0,1,1,0,0,0
36.0,1,18.0,66892.61,3,0,1,0,0,0,0,0,0,0,1
26.0,1,6.0,38787.38,3,0,0,0,1,0,0,1,0,0,0
34.0,0,12.0,63589.49,3,1,1,1,0,0,0,0,1,0,0
33.0,1,10.0,61372.32,5,0,1,0,0,0,1,0,0,1,0
28.0,1,6.0,34929.37,4,0,0,0,0,0,0,0,0,0,1
51.0,1,31.0,109968.0,5,0,2,0,0,0,0,0,0,1,0
29.0,0,7.0,55907.02,3,0,1,1,0,0,0,0,1,0,0
43.0,0,23.0,99353.11,5,0,2,0,0,1,0,0,1,0,0
51.0,1,29.0,106022.41,4,0,2,0,0,0,0,0,0,1,0
36.0,0,13.0,61918.45,3,1,1,0,0,0,1,0,0,1,0
46.0,0,26.0,95574.67,3,0,2,0,1,0,0,0,0,1,0
30.0,0,8.0,38267.63,2,1,0,1,0,0,0,0,1,0,0
29.0,1,7.0,41554.57,4,0,0,0,0,0,0,0,0,0,0
24.0,1,4.0,33011.66,2,0,0,1,0,0,0,0,0,1,0
30.0,0,8.0,36292.85,2,1,0,0,0,0,1,0,0,0,1
31.0,1,6.0,53854.5,3,1,1,0,1,0,0,0,1,0,0
27.0,1,7.0,33811.04,2,1,0,0,0,1,0,1,0,0,0
53.0,1,30.0,105150.84,5,0,2,1,0,0,0,1,0,0,0
27.0,1,5.0,37643.4,3,0,0,1,0,0,0,0,0,0,1
