EmployeeID,Age,Gender,Department,City,YearsExperience,MonthlySalary,PerformanceScore,Attrition,TrueSegment
3001,26.0,Female,Marketing,New York,4.0,36109.67,3,No,0
3002,46.0,Male,Finance,Chicago,23.0,93324.79,3,No,2
3003,37.0,Male,Marketing,Phoenix,18.0,70928.19,3,No,1
3004,34.0,Female,IT,New York,8.0,54443.11,4,No,1
3005,26.0,Female,Marketing,Phoenix,6.0,37933.8,2,Yes,0
3006,21.0,Female,Marketing,Los Angeles,0.0,31127.16,1,No,0
3007,22.0,Female,Finance,Phoenix,1.0,31625.03,1,Yes,0
3008,59.0,Male,IT,Phoenix,35.0,111692.88,3,No,2
3009,39.0,Male,HR,Chicago,15.0,63391.17,2,No,1
3010,37.0,Female,Marketing,Los Angeles,16.0,63590.39,3,No,1
3011,25.0,Male,Sales,Phoenix,2.0,35306.74,3,Yes,0
3012,43.0,Male,Finance,Phoenix,23.0,105489.45,5,No,2
3013,44.0,Female,Marketing,Los Angeles,20.0,83619.39,3,No,2
3014,30.0,Female,HR,Los Angeles,8.0,37461.04,2,No,0
3015,33.0,Male,Marketing,New York,8.0,36673.49,1,Yes,0
3016,28.0,Female,Sales,Chicago,7.0,38238.77,3,No,0
3017,32.0,Female,Finance,Los Angeles,8.0,35125.99,2,No,0
3018,35.0,Female,IT,Los Angeles,13.0,66558.29,4,No,1
3019,35.0,Male,Sales,Houston,12.0,58720.81,4,No,1
3020,21.0,Female,IT,Los Angeles,0.0,30604.21,2,No,0
3021,35.0,Male,IT,Chicago,15.0,62740.83,3,No,1
3022,25.0,Male,IT,Phoenix,0.0,32664.26,4,No,0
3023,32.0,Male,HR,Phoenix,8.0,35727.78,1,Yes,0
3024,23.0,Female,Finance,Phoenix,4.0,32739.65,1,Yes,0
3025,37.0,Female,Sales,Phoenix,14.0,62180.93,3,No,1
3026,45.0,Female,IT,Houston,22.0,98840.06,5,No,2
3027,21.0,Female,HR,Los Angeles,0.0,29543.28,2,Yes,0
3028,35.0,Female,IT,Phoenix,9.0,56589.77,4,No,1
3029,40.0,Male,IT,New York,18.0,67709.35,2,Yes,1
3030,23.0,Male,Sales,Phoenix,0.0,32823.44,3,No,0
3031,35.0,Male,Marketing,Los Angeles,11.0,60545.33,4,No,1
3032,29.0,Female,Marketing,Phoenix,6.0,37502.48,2,No,0
3033,27.0,Male,Marketing,Houston,3.0,32222.55,2,Yes,0
3034,53.0,Male,IT,Chicago,30.0,100753.42,4,No,2
3035,42.0,Female,IT,Chicago,23.0,98483.74,4,No,2
3036,48.0,Female,HR,Los Angeles,24.0,103351.12,5,No,2
3037,26.0,Male,Sales,Chicago,5.0,35240.24,2,No,0
3038,21.0,Male,Marketing,Chicago,0.0,31058.16,1,Yes,0
3039,36.0,Female,IT,New York,14.0,63096.03,3,No,1
3040,32.0,Female,Marketing,Los Angeles,10.0,54555.23,4,No,1
3041,27.0,Female,HR,Los Angeles,6.0,32350.4,3,No,0
3042,31.0,Female,Finance,Chicago,7.0,54916.21,3,Yes,1
3043,27.0,Male,IT,Chicago,4.0,31380.37,2,Yes,0
3044,41.0,Male,HR,Chicago,17.0,94291.35,4,No,2
3045,27.0,Female,Sales,Houston,6.0,35292.49,3,Yes,0
3046,36.0,Male,Finance,Phoenix,18.0,66892.61,3,No,1
3047,26.0,Male,IT,Houston,6.0,38787.38,3,No,0
3048,34.0,Female,HR,Los Angeles,12.0,63589.49,3,Yes,1
3049,33.0,Male,Sales,New York,10.0,61372.32,5,No,1
3050,28.0,Male,Finance,Phoenix,6.0,34929.37,4,No,0
3051,51.0,Male,Finance,New York,31.0,109968.0,5,No,2
3052,29.0,Female,HR,Los Angeles,7.0,55907.02,3,No,1
3053,43.0,Female,Marketing,Los Angeles,23.0,99353.11,5,No,2
3054,51.0,Male,Finance,New York,29.0,106022.41,4,No,2
3055,36.0,Female,Sales,New York,13.0,61918.45,3,Yes,1
3056,46.0,Female,IT,New York,26.0,95574.67,3,No,2
3057,30.0,Female,HR,Los Angeles,8.0,38267.63,2,Yes,0
3058,29.0,Male,Finance,Chicago,7.0,41554.57,4,No,0
3059,24.0,Male,HR,New York,4.0,33011.66,2,No,0
3060,30.0,Female,Sales,Phoenix,8.0,36292.85,2,Yes,0
3061,31.0,Male,IT,Los Angeles,6.0,53854.5,3,Yes,1
3062,27.0,Male,Marketing,Houston,7.0,33811.04,2,Yes,0
3063,53.0,Male,HR,Houston,30.0,105150.84,5,No,2
3064,27.0,Male,HR,Phoenix,5.0,37643.4,3,No,0
3065,24.0,Male,Sales,Chicago,1.0,30111.16,2,Yes,0
3066,41.0,Female,Sales,New York,18.0,67173.61,4,No,1
3067,24.0,Male,HR,Los Angeles,3.0,37061.33,2,Yes,0
3068,57.0,Male,Marketing,New York,34.0,112329.15,5,No,2
3069,27.0,Male,HR,Los Angeles,5.0,35890.68,3,Yes,0
3070,44.0,Female,HR,Houston,19.0,92101.12,5,No,2
3071,34.0,Female,IT,New York,11.0,71551.79,5,No,1
3072,24.0,Female,HR,Phoenix,2.0,35848.46,3,Yes,0
3073,28.0,Male,HR,Chicago,5.0,38439.78,3,No,0
3074,51.0,Female,Finance,Phoenix,31.0,112147.82,4,No,2
3075,35.0,Female,Finance,Chicago,13.0,62434.93,3,Yes,1
3076,34.0,Female,IT,New York,11.0,62317.27,2,No,1
3077,37.0,Female,IT,New York,14.0,66498.33,4,No,1
3078,32.0,Male,HR,Chicago,8.0,39347.88,3,Yes,0
