age,years_experience,monthly_salary,performance_score,gender,department,city
25,2,54674.01,5,Female,IT,Chicago
38,8,51029.85,1,Female,Finance,Houston
29,2,45050.31,2,Female,IT,Phoenix
22,0,29678.85,1,Male,HR,Chicago
29,4,49509.05,2,Female,Sales,Los Angeles
43,18,73013.61,4,Male,Finance,Chicago
53,16,48723.97,2,Male,Marketing,Phoenix
50,13,57432.74,1,Female,Sales,Houston
59,13,55262.05,4,Female,Sales,Phoenix
46,12,60460.84,5,Female,IT,Houston
48,8,58218.37,3,Male,IT,New York
35,4,48516.41,3,Male,Finance,Los Angeles
29,6,41034.92,3,Female,Sales,Houston
35,9,59979.39,4,Male,Finance,Chicago
56,16,70414.69,4,Female,Finance,Los Angeles
58,11,56088.87,5,Male,Sales,Phoenix
41,7,40267.62,3,Male,Marketing,Phoenix
40,9,57853.51,5,Male,Finance,Houston
26,4,46467.72,5,Male,HR,New York
37,8,40809.96,2,Male,Sales,Phoenix
53,27,75106.03,4,Female,Marketing,Houston
49,17,56312.68,2,Male,Finance,Chicago
56,10,38386.41,1,Male,HR,Los Angeles
23,1,45632.27,1,Male,Sales,New York
40,11,41017.18,1,Female,Marketing,Chicago
47,18,66940.97,5,Male,Sales,Los Angeles
52,10,51769.32,4,Female,Finance,New York
52,20,66074.52,3,Male,Finance,Los Angeles
29,5,47372.58,3,Female,Finance,Houston
39,5,43485.03,1,Male,Finance,Phoenix
46,20,65197.13,3,Female,Sales,New York
32,9,64630.67,5,Male,Finance,Los Angeles
37,6,42590.82,5,Male,Marketing,Phoenix
48,21,66226.64,5,Female,Sales,Phoenix
42,17,62495.31,5,Male,Marketing,Houston
46,14,51078.52,2,Male,IT,Houston
39,15,57298.03,5,Male,Sales,Houston
53,22,66413.53,5,Female,Marketing,Houston
58,18,59366.07,1,Female,Finance,Houston
50,21,66954.88,2,Female,Finance,Phoenix
29,5,36999.58,4,Female,HR,New York
55,12,64663.92,1,Male,IT,New York
54,23,74333.46,3,Female,Finance,Houston
40,9,40978.91,2,Male,HR,Houston
26,4,42595.75,4,Female,Sales,New York
34,7,41609.58,2,Female,Marketing,New York
28,6,47446.39,3,Female,HR,Chicago
22,1,41075.57,1,Female,IT,New York
49,9,53760.03,4,Male,IT,Los Angeles
59,15,51570.28,1,Male,Marketing,Houston
41,16,59367.19,5,Male,HR,Houston
56,28,53496.06,1,Male,Marketing,Phoenix
36,5,37486.3,2,Female,Marketing,Phoenix
46,16,55915.27,4,Female,HR,Phoenix
47,20,53258.16,1,Female,IT,Phoenix
25,3,44781.78,4,Female,Marketing,Houston
34,4,45810.71,3,Male,IT,New York
44,18,49256.25,1,Female,HR,New York
45,15,56959.66,4,Female,Finance,Los Angeles
49,14,49756.98,2,Female,Marketing,New York
27,2,34224.3,1,Female,HR,Los Angeles
48,20,62554.79,1,Female,IT,Chicago
39,11,44336.24,3,Male,Marketing,Chicago
43,17,51824.46,2,Female,Marketing,Phoenix
39,12,66375.72,5,Male,IT,New York
21,0,48750.96,2,Female,IT,Los Angeles
44,9,56607.82,1,Female,IT,Houston
46,13,55320.8,2,Male,Sales,Los Angeles
27,3,40316.01,2,Male,Finance,New York
37,8,56616.28,3,Female,Finance,Los Angeles
55,20,49384.83,1,Female,HR,Houston
45,7,40994.65,2,Female,Marketing,New York
35,8,41494.59,1,Male,Finance,New York
41,9,53667.67,4,Male,IT,Houston
59,31,68181.27,4,Male,Marketing,Houston
58,31,75517.47,4,Male,Sales,Chicago
23,1,44244.99,2,Female,Finance,Phoenix
39,14,50418.0,3,Male,HR,Houston
25,1,33945.8,1,Male,HR,Houston
24,1,33837.41,3,Female,Marketing,Chicago
44,18,55147.06,1,Female,Finance,Houston
44,8,47869.59,4,Female,Finance,Phoenix
48,12,61737.71,3,Female,IT,New York
51,9,49640.9,4,Male,Marketing,Phoenix
