age,gender,department,city,years_experience,monthly_salary,performance_score,attrition
59,Male,Sales,New York,11,46272.68,4,No
49,Male,HR,New York,21,58878.98,3,No
35,Female,Finance,New York,4,52536.1,5,No
28,Male,IT,New York,2,50302.62,3,Yes
41,Female,Marketing,Houston,13,47027.14,2,Yes
59,Female,Finance,Houston,32,70015.76,1,No
39,Male,HR,Houston,14,50418.0,3,Yes
43,Female,IT,Los Angeles,13,57743.46,3,No
31,Male,IT,Los Angeles,8,45917.83,2,No
31,Male,Marketing,Los Angeles,3,36114.34,1,No
44,Female,Sales,Chicago,19,48584.27,1,No
56,Female,HR,Los Angeles,19,61662.77,5,No
44,Male,Marketing,Houston,16,46337.82,3,No
23,Female,HR,Houston,1,37264.62,1,No
42,Female,Sales,Chicago,14,51218.25,1,No
22,Female,Sales,Chicago,1,45483.55,4,No
44,Male,Marketing,Los Angeles,12,43542.76,4,No
50,Male,Sales,Phoenix,22,55785.6,1,No
58,Female,Finance,Chicago,14,66914.25,5,No
22,Female,IT,New York,1,41075.57,1,Yes
41,Female,Marketing,Houston,14,45387.75,2,Yes
53,Female,HR,New York,12,45453.32,3,Yes
32,Female,Finance,Houston,8,56326.89,5,Yes
42,Male,Marketing,Houston,12,44394.52,2,No
45,Female,Sales,Chicago,16,65135.27,5,No
47,Male,Sales,Chicago,18,55241.33,2,No
48,Female,Sales,New York,8,45977.72,3,No
36,Male,Sales,Houston,8,42994.63,3,No
35,Female,HR,New York,11,51187.79,4,No
23,Male,Finance,Phoenix,1,45196.67,2,Yes
57,Female,IT,New York,22,66531.16,4,No
27,Male,HR,Los Angeles,3,28304.68,2,No
41,Male,HR,New York,10,49943.05,4,No
29,Male,IT,Los Angeles,5,50602.79,3,No
59,Male,IT,Los Angeles,22,73244.28,5,No
38,Male,Sales,Los Angeles,6,56328.7,4,No
24,Male,HR,Phoenix,2,36192.67,2,Yes
45,Female,Marketing,New York,7,40994.65,2,Yes
34,Male,IT,New York,4,45810.71,3,No
29,Female,IT,Phoenix,2,45050.31,2,Yes
46,Female,Finance,Houston,8,48442.31,1,No
22,Female,Marketing,Chicago,1,44163.23,5,Yes
40,Female,Marketing,New York,12,59093.86,4,No
48,Female,IT,Chicago,20,71996.34,5,No
27,Male,Sales,Phoenix,2,41960.8,3,No
28,Male,Finance,Houston,5,48723.76,4,No
55,Male,Marketing,Houston,24,64666.69,4,No
34,Female,IT,Houston,6,44271.97,1,No
37,Male,Marketing,Phoenix,13,51669.32,3,No
56,Male,Finance,Los Angeles,30,72849.66,2,No
24,Male,Finance,Los Angeles,1,40284.19,1,Yes
22,Male,HR,Chicago,0,29678.85,1,Yes
26,Male,IT,Los Angeles,4,46058.81,5,No
24,Female,Finance,Los Angeles,2,55475.35,5,No
49,Male,HR,Houston,8,50213.2,5,No
38,Female,HR,Houston,12,45310.47,1,No
46,Female,Marketing,Chicago,19,48204.59,2,No
54,Female,Marketing,New York,23,68169.35,4,No
30,Female,HR,Chicago,7,45789.13,5,No
56,Female,Marketing,Chicago,26,59944.82,2,No
34,Male,Finance,Phoenix,5,45072.85,3,No
51,Male,Sales,Phoenix,12,49252.22,5,No
35,Male,Finance,Chicago,9,59979.39,4,No
28,Female,HR,Chicago,6,47446.39,3,No
34,Male,HR,Chicago,6,41637.89,3,No
43,Male,Finance,Los Angeles,13,56432.46,4,No
41,Female,Marketing,Phoenix,13,53841.82,5,No
36,Female,Marketing,Chicago,8,40401.54,1,No
38,Female,HR,Houston,12,45400.56,4,No
44,Female,IT,Houston,18,64730.98,4,No
46,Male,Marketing,Los Angeles,16,56612.41,4,No
45,Female,Finance,Los Angeles,14,61972.63,3,No
49,Female,Marketing,New York,14,49756.98,2,Yes
35,Male,Finance,New York,8,41494.59,1,Yes
